Instrument,Company Common Name,Date,ESG Score,Environmental Pillar Score,Social Pillar Score,Governance Pillar Score,ESG Score Grade,ESG Combined Score Grade,Environmental Pillar Score Grade,Social Pillar Score Grade,Governance Pillar Score Grade,Price Close,Earnings Per Share - Mean,P/E (Daily Time Series Ratio),Debt - Long-Term - Total,Company Market Cap,TRBC Economic Sector Name
JD.L,JD Sports Fashion PLC,2023-01-28 00:00:00+00:00,33.758663103965,62.7670792152347,38.1638324700109,14.4616035898738,C,C-,B,C,D,87.36,0.1237,14.0585774058577,2.1047,4.52837534643625,Consumer Cyclicals
JD.L,,2022-01-29 00:00:00+00:00,41.2608088438665,66.0938613103033,40.6169259324856,29.559708067738,C,C,B,C,C-,92.88,0.1243644,14.946894110074,1.9919,4.814096479956,
JD.L,,2021-01-30 00:00:00+00:00,43.1876285984509,66.5188594374824,42.5261359783057,32.2570049790965,C+,C-,B,C+,C-,90.18,0.1249887,14.5123913743161,1.9571,4.674151814841,
JD.L,,2020-02-01 00:00:00+00:00,39.9170709871368,55.7584830339321,45.0933010212913,26.244998259123,C,C-,B-,C+,C-,96.3,0.1274867,15.4972642420341,1.6761,4.991359722435,
JD.L,,2019-02-02 00:00:00+00:00,32.9528923164198,56.1555104800541,35.9597816817329,18.0105950509214,C-,C-,B-,C,D+,96.64,0.1274867,15.5519794013518,1.7233,5.008982383968,
JD.L,,2018-02-03 00:00:00+00:00,36.2363366615205,56.7129359049289,38.6615901993755,23.3033108866442,C,C,B-,C,D+,99.66,0.1274867,16.037978757644,0.0622,5.165513083467,
JD.L,,2017-01-28 00:00:00+00:00,30.3730794426991,44.6889140271493,33.3965853658537,19.8557111247467,C-,C-,C+,C,D+,97.54,0.1274867,15.6968136466044,0.011,5.055630605673,
JD.L,,2016-01-30 00:00:00+00:00,28.9806517517074,45.4583333333333,26.550045153522,23.4424849588784,C-,C-,C+,C-,D+,101.5,0.1274867,16.3340843257161,0.002529,5.260882781175,
JD.L,,2015-01-31 00:00:00+00:00,29.278481993137,42.1565784704603,28.2475654069767,23.9848966279867,C-,C-,C+,C-,D+,97.94,0.1277143,15.7611844222723,0.000274,5.076363148653,
JD.L,,2014-02-01 00:00:00+00:00,23.3294893500939,37.4441767068273,21.796586059744,17.9753715498938,D+,D+,C,D+,D+,94.16,0.127655,15.1528805922111,0.000374,4.880440617492,
SMT.L,Scottish Mortgage Investment Trust PLC,2024-03-31 00:00:00+00:00,14.5087039106773,0.0,14.3279116157741,18.0712409950673,D,D,D-,D,D+,1021.0,,7.26731771204055,1.430721,12.7193125667154,Financials
SMT.L,,2023-03-31 00:00:00+00:00,12.45156122977,0.0,13.9172932330827,13.8588603843874,D,D,D-,D,D,1012.5,,7.20681604646528,1.447218,12.6123414795,
SMT.L,,2022-03-31 00:00:00+00:00,10.6807381087553,0.0,14.091930858073,10.2963933101772,D,D,D-,D,D,990.2,,7.04808814736783,1.629556,12.336142871112,
SMT.L,,2021-03-31 00:00:00+00:00,13.1497714008401,11.7021276595745,15.2378228179143,11.8964621575884,D,D,D,D,D,986.6,,7.02246391253595,0.972782,12.296226230296,
SMT.L,,2020-03-31 00:00:00+00:00,17.5302271003079,11.25,17.6462497707684,18.700544658307,D+,D+,D,D+,D+,996.8,,7.09506591122627,0.592247,12.432611713872,
